timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1504833133467,0.011,0.968,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833133467,0.097,1.0,Pipistrellus pipistrellus,1.0,Nyctalus leisleri,0.0,Pipistrellus nathusii,0.0
1504833133467,0.341,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833133467,0.195,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833133467,0.436,1.0,Pipistrellus pipistrellus,0.958,Pipistrellus nathusii,0.042,Nyctalus leisleri,0.0
1504833133467,0.534,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833133467,0.723,1.0,Pipistrellus pipistrellus,0.973,Pipistrellus nathusii,0.026,Pipistrellus pygmaeus,0.0
1504833133467,0.631,1.0,Pipistrellus pipistrellus,1.0,Nyctalus leisleri,0.0,Pipistrellus nathusii,0.0
1504833133467,0.986,0.999,Pipistrellus pipistrellus,0.763,Myotis daubentonii,0.195,Pipistrellus nathusii,0.021
1504833133467,1.057,0.989,Pipistrellus nathusii,0.64,Pipistrellus pipistrellus,0.352,Myotis daubentonii,0.006
1504833133467,0.911,1.0,Pipistrellus pipistrellus,0.823,Pipistrellus nathusii,0.128,Myotis daubentonii,0.046
1504833133467,0.819,1.0,Pipistrellus pipistrellus,1.0,Myotis daubentonii,0.0,Pipistrellus pygmaeus,0.0
1504833133467,2.37,1.0,Pipistrellus pipistrellus,0.872,Pipistrellus nathusii,0.127,Nyctalus leisleri,0.001
1504833133467,2.63,0.996,Pipistrellus pipistrellus,0.998,Pipistrellus nathusii,0.001,Myotis daubentonii,0.0
1504833133467,2.543,0.977,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833133467,2.817,0.997,Pipistrellus nathusii,0.475,Plecotus auritus,0.299,Pipistrellus pipistrellus,0.182
1504833133467,2.731,0.997,Pipistrellus pipistrellus,0.993,Pipistrellus nathusii,0.006,Nyctalus leisleri,0.0
1504833133467,2.925,0.988,Pipistrellus pipistrellus,0.986,Pipistrellus nathusii,0.012,Nyctalus leisleri,0.002
1504833142719,0.68,0.987,Plecotus auritus,0.909,Pipistrellus nathusii,0.059,Pipistrellus pipistrellus,0.017
1504833142719,0.599,0.99,Pipistrellus pipistrellus,0.941,Pipistrellus pygmaeus,0.038,Pipistrellus nathusii,0.016
1504833142719,0.442,0.985,Pipistrellus pipistrellus,0.546,Pipistrellus nathusii,0.3,Plecotus auritus,0.071
1504833142719,0.754,0.977,Nyctalus leisleri,0.742,Pipistrellus nathusii,0.143,Pipistrellus pipistrellus,0.107
1504833142719,1.008,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833142719,0.835,1.0,Pipistrellus pipistrellus,0.986,Pipistrellus nathusii,0.009,Myotis daubentonii,0.004
1504833142719,0.916,0.999,Pipistrellus nathusii,0.572,Plecotus auritus,0.213,Pipistrellus pipistrellus,0.154
1504833142719,1.1,1.0,Pipistrellus nathusii,0.637,Pipistrellus pipistrellus,0.351,Myotis daubentonii,0.01
1504833142719,2.904,0.988,Pipistrellus pipistrellus,0.989,Pipistrellus nathusii,0.008,Nyctalus leisleri,0.002
1504833197741,2.188,0.992,Pipistrellus pipistrellus,0.966,Myotis daubentonii,0.018,Pipistrellus nathusii,0.013
1504833197741,2.247,0.997,Pipistrellus pipistrellus,0.998,Myotis daubentonii,0.001,Pipistrellus pygmaeus,0.001
1504833197741,2.3,0.998,Pipistrellus pipistrellus,0.713,Pipistrellus pygmaeus,0.287,Nyctalus leisleri,0.0
1504833197741,2.565,0.997,Pipistrellus pipistrellus,0.79,Pipistrellus nathusii,0.173,Myotis daubentonii,0.035
1504833197741,2.478,1.0,Pipistrellus pipistrellus,0.952,Pipistrellus nathusii,0.046,Nyctalus leisleri,0.001
1504833197741,2.386,0.996,Pipistrellus pipistrellus,0.86,Pipistrellus nathusii,0.139,Myotis daubentonii,0.001
1504833197741,2.655,1.0,Pipistrellus pipistrellus,0.926,Pipistrellus nathusii,0.052,Myotis daubentonii,0.019
1504833197741,2.931,1.0,Pipistrellus pipistrellus,0.568,Pipistrellus nathusii,0.432,Nyctalus leisleri,0.0
1504833197741,2.844,1.0,Pipistrellus pipistrellus,0.998,Pipistrellus nathusii,0.002,Nyctalus leisleri,0.0
1504833252269,0.335,0.997,Pipistrellus pipistrellus,0.888,Pipistrellus nathusii,0.106,Nyctalus leisleri,0.007
1504833252269,0.734,1.0,Pipistrellus nathusii,0.695,Pipistrellus pipistrellus,0.304,Nyctalus leisleri,0.001
1504833252269,0.636,0.997,Pipistrellus nathusii,0.947,Pipistrellus pipistrellus,0.05,Nyctalus leisleri,0.003
1504833252269,0.545,1.0,Pipistrellus nathusii,0.577,Pipistrellus pipistrellus,0.393,Nyctalus leisleri,0.03
1504833252269,0.835,0.962,Pipistrellus nathusii,0.691,Pipistrellus pipistrellus,0.247,Nyctalus leisleri,0.061
1504833252269,1.1,1.0,Pipistrellus nathusii,0.75,Pipistrellus pipistrellus,0.25,Nyctalus leisleri,0.0
1504833252269,1.008,1.0,Pipistrellus nathusii,0.845,Pipistrellus pipistrellus,0.154,Nyctalus leisleri,0.0
1504833252269,1.288,0.997,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,1.38,1.0,Pipistrellus pipistrellus,0.821,Pipistrellus nathusii,0.179,Nyctalus leisleri,0.0
1504833252269,1.466,1.0,Pipistrellus nathusii,0.683,Pipistrellus pipistrellus,0.317,Nyctalus leisleri,0.0
1504833252269,1.185,1.0,Pipistrellus nathusii,0.844,Pipistrellus pipistrellus,0.144,Nyctalus leisleri,0.012
1504833252269,1.838,1.0,Pipistrellus pipistrellus,0.561,Pipistrellus nathusii,0.394,Myotis daubentonii,0.03
1504833252269,1.649,1.0,Pipistrellus nathusii,0.996,Pipistrellus pipistrellus,0.004,Nyctalus leisleri,0.0
1504833252269,1.751,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,1.551,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,2.215,1.0,Pipistrellus nathusii,0.73,Pipistrellus pipistrellus,0.27,Nyctalus leisleri,0.0
1504833252269,2.123,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,2.026,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,1.928,1.0,Pipistrellus pipistrellus,0.512,Pipistrellus nathusii,0.488,Nyctalus leisleri,0.0
1504833252269,2.311,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833252269,2.608,0.983,Pipistrellus pipistrellus,0.722,Pipistrellus nathusii,0.156,Myotis daubentonii,0.115
1504833252269,2.473,1.0,Pipistrellus pipistrellus,0.557,Pipistrellus nathusii,0.435,Nyctalus leisleri,0.006
1504833315930,0.238,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504833315930,0.341,0.996,Pipistrellus pipistrellus,0.924,Pipistrellus nathusii,0.075,Nyctalus leisleri,0.001
1504833315930,0.135,0.999,Pipistrellus nathusii,0.945,Pipistrellus pipistrellus,0.054,Nyctalus leisleri,0.001
1504833315930,0.636,1.0,Pipistrellus pipistrellus,0.962,Pipistrellus nathusii,0.037,Pipistrellus pygmaeus,0.0
1504833315930,0.426,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
