timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1506136632090,1.955,1.0,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1506136632090,2.042,0.999,Pipistrellus pygmaeus,0.992,Nyctalus leisleri,0.008,Plecotus auritus,0.0
1506201918748,0.922,0.995,Pipistrellus pipistrellus,0.594,Pipistrellus nathusii,0.404,Nyctalus leisleri,0.002
1506201938592,0.168,0.995,Pipistrellus pipistrellus,0.689,Pipistrellus nathusii,0.309,Nyctalus leisleri,0.002
1506207320820,1.342,0.987,Nyctalus leisleri,1.0,Pipistrellus pipistrellus,0.0,Nyctalus noctula,0.0
