timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1501115871181,2.204,0.996,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1501115871181,1.95,0.986,Pipistrellus pygmaeus,0.998,Nyctalus leisleri,0.002,Plecotus auritus,0.0
1501115871181,2.44,0.99,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1501115871181,2.527,0.983,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1501115871181,2.608,0.966,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1501118212975,0.286,0.997,Pipistrellus pipistrellus,0.902,Pipistrellus nathusii,0.098,Pipistrellus pygmaeus,0.0
1501118212975,0.469,0.989,Pipistrellus pipistrellus,0.967,Pipistrellus nathusii,0.033,Nyctalus leisleri,0.0
1501118212975,0.83,0.988,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Myotis daubentonii,0.0
1501120745725,1.03,1.0,Pipistrellus pipistrellus,0.986,Pipistrellus nathusii,0.014,Nyctalus leisleri,0.0
1501120745725,1.461,1.0,Pipistrellus pipistrellus,0.927,Pipistrellus nathusii,0.072,Nyctalus leisleri,0.0
1501120745725,1.201,1.0,Pipistrellus nathusii,0.988,Pipistrellus pipistrellus,0.011,Nyctalus leisleri,0.001
1501120745725,1.794,1.0,Pipistrellus pipistrellus,0.894,Pipistrellus nathusii,0.106,Nyctalus leisleri,0.0
1501120745725,1.708,1.0,Pipistrellus pipistrellus,0.687,Pipistrellus nathusii,0.309,Nyctalus leisleri,0.004
1501120745725,1.546,0.97,Pipistrellus pipistrellus,0.579,Pipistrellus nathusii,0.42,Nyctalus leisleri,0.001
1501120745725,1.881,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1501120745725,1.627,1.0,Pipistrellus pipistrellus,0.771,Pipistrellus nathusii,0.213,Nyctalus leisleri,0.016
1501120745725,2.074,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Myotis daubentonii,0.0
1501120745725,1.966,1.0,Pipistrellus pipistrellus,1.0,Nyctalus leisleri,0.0,Pipistrellus nathusii,0.0
1501120745725,2.128,1.0,Pipistrellus pipistrellus,1.0,Myotis daubentonii,0.0,Pipistrellus pygmaeus,0.0
1501120745725,2.026,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1501121272449,2.936,0.963,Pipistrellus pygmaeus,0.961,Nyctalus leisleri,0.039,Pipistrellus pipistrellus,0.0
1501122560471,1.643,0.986,Pipistrellus pygmaeus,0.707,Nyctalus leisleri,0.293,Plecotus auritus,0.0
1501122560471,1.87,0.986,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Plecotus auritus,0.0
1501122560471,1.805,0.996,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1501122560471,1.73,0.982,Pipistrellus pygmaeus,0.948,Nyctalus leisleri,0.052,Plecotus auritus,0.0
1501122560471,2.177,1.0,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
