"timestamp","call_time","prob_bat","c1","p1","c2","p2","c3","p3","datetime","date"
1523587533836,2.747,0.966,"Nyctalus noctula",0.885,"Nyctalus leisleri",0.093,"Pipistrellus pygmaeus",0.007,2018-04-13 03:45:33,2018-04-13
1523611784192,2.02,0.954,"Nyctalus noctula",0.994,"Nyctalus leisleri",0.006,"Pipistrellus pipistrellus",0,2018-04-13 10:29:44,2018-04-13
1523611784192,2.08,0.953,"Nyctalus noctula",0.996,"Nyctalus leisleri",0.004,"Pipistrellus pipistrellus",0,2018-04-13 10:29:44,2018-04-13
1523611784192,2.209,0.963,"Nyctalus noctula",0.999,"Nyctalus leisleri",0.001,"Pipistrellus pipistrellus",0,2018-04-13 10:29:44,2018-04-13
