"timestamp","call_time","prob_bat","c1","p1","c2","p2","c3","p3","datetime","date"
1523611082326,1.434,0.966,"Pipistrellus pipistrellus",0.997,"Pipistrellus nathusii",0.002,"Pipistrellus pygmaeus",0.001,2018-04-13 10:18:02,2018-04-13
1523634552552,1.445,0.957,"Pipistrellus pipistrellus",0.999,"Pipistrellus nathusii",0.001,"Nyctalus leisleri",0,2018-04-13 16:49:12,2018-04-13
1523647925931,2.785,0.996,"Pipistrellus pipistrellus",0.726,"Pipistrellus pygmaeus",0.27,"Myotis brandtii",0.002,2018-04-13 20:32:05,2018-04-13
1523648458492,1.735,0.969,"Pipistrellus nathusii",0.906,"Plecotus auritus",0.04,"Pipistrellus pipistrellus",0.037,2018-04-13 20:40:58,2018-04-13
1523648458492,1.928,0.962,"Pipistrellus pipistrellus",0.87,"Pipistrellus nathusii",0.123,"Nyctalus leisleri",0.005,2018-04-13 20:40:58,2018-04-13
1523648458492,2.381,0.959,"Pipistrellus pipistrellus",0.868,"Pipistrellus nathusii",0.125,"Nyctalus leisleri",0.003,2018-04-13 20:40:58,2018-04-13
1523649586146,0.453,0.992,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-04-13 20:59:46,2018-04-13
1523649595171,2.294,0.987,"Pipistrellus nathusii",0.927,"Plecotus auritus",0.028,"Pipistrellus pygmaeus",0.02,2018-04-13 20:59:55,2018-04-13
1523649595171,2.639,0.994,"Pipistrellus nathusii",0.876,"Pipistrellus pipistrellus",0.118,"Nyctalus leisleri",0.003,2018-04-13 20:59:55,2018-04-13
1523649595171,2.823,0.991,"Pipistrellus nathusii",0.607,"Pipistrellus pipistrellus",0.371,"Myotis daubentonii",0.008,2018-04-13 20:59:55,2018-04-13
1523649595171,2.731,0.965,"Pipistrellus nathusii",0.824,"Pipistrellus pipistrellus",0.069,"Myotis daubentonii",0.05,2018-04-13 20:59:55,2018-04-13
1523651643941,1.385,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-04-13 21:34:03,2018-04-13
