timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1507878536257,1.993,0.993,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1507878536257,1.993,0.993,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
