timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1503360277680,1.757,0.993,Pipistrellus pipistrellus,0.988,Myotis daubentonii,0.007,Pipistrellus nathusii,0.003
1503360277680,2.047,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1503360277680,1.944,0.987,Pipistrellus pipistrellus,0.863,Pipistrellus nathusii,0.122,Myotis daubentonii,0.01
1503360277680,2.242,0.965,Pipistrellus pipistrellus,0.992,Myotis daubentonii,0.007,Pipistrellus nathusii,0.001
1503360277680,2.144,0.952,Pipistrellus pipistrellus,0.916,Pipistrellus nathusii,0.083,Nyctalus leisleri,0.001
1503362457535,1.767,0.984,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1503362457535,2.247,0.979,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1503362457535,2.15,0.953,Plecotus auritus,0.571,Pipistrellus nathusii,0.233,Pipistrellus pipistrellus,0.153
1503362457535,1.961,0.993,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1503362457535,2.053,0.991,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1503366437131,1.977,0.953,Plecotus auritus,0.763,Nyctalus leisleri,0.142,Nyctalus noctula,0.052
1503367580772,0.723,0.97,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1503367580772,2.004,0.989,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1503367589789,0.243,0.978,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1503367589789,0.83,0.98,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1503367589789,2.226,0.987,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1503372940868,0.168,0.993,Plecotus auritus,0.91,Pipistrellus nathusii,0.069,Pipistrellus pipistrellus,0.016
