timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1504490446313,2.753,0.998,Pipistrellus nathusii,0.998,Pipistrellus pipistrellus,0.001,Nyctalus leisleri,0.001
1504554520565,1.805,0.991,Nyctalus leisleri,0.989,Pipistrellus pygmaeus,0.011,Pipistrellus pipistrellus,0.0
1504554520565,2.144,0.999,Pipistrellus pygmaeus,0.96,Nyctalus leisleri,0.038,Pipistrellus pipistrellus,0.001
1504554520565,1.977,0.996,Nyctalus leisleri,0.622,Pipistrellus pygmaeus,0.378,Pipistrellus pipistrellus,0.0
1504555356504,1.713,0.975,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504555356504,1.89,1.0,Pipistrellus pipistrellus,0.96,Pipistrellus nathusii,0.036,Myotis daubentonii,0.003
1504555356504,2.161,0.992,Pipistrellus pipistrellus,0.998,Myotis daubentonii,0.001,Pipistrellus pygmaeus,0.001
1504555356504,2.069,0.997,Pipistrellus pipistrellus,0.997,Pipistrellus nathusii,0.002,Nyctalus leisleri,0.001
1504557129255,2.915,0.989,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1504558419713,0.259,0.989,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1504558419713,0.442,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504560427098,0.254,0.989,Pipistrellus pygmaeus,0.999,Nyctalus leisleri,0.001,Plecotus auritus,0.0
1504560427098,0.469,0.952,Pipistrellus pygmaeus,0.994,Nyctalus leisleri,0.004,Plecotus auritus,0.002
