timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1504235702758,2.063,0.999,Pipistrellus pipistrellus,0.989,Myotis daubentonii,0.011,Pipistrellus nathusii,0.0
1504235702758,2.155,0.999,Pipistrellus pipistrellus,1.0,Myotis daubentonii,0.0,Pipistrellus nathusii,0.0
1504235702758,2.242,0.991,Pipistrellus pipistrellus,0.943,Myotis daubentonii,0.056,Pipistrellus nathusii,0.0
1504235702758,2.327,0.951,Pipistrellus pipistrellus,0.978,Nyctalus leisleri,0.011,Pipistrellus nathusii,0.011
1504235702758,2.413,0.97,Pipistrellus pipistrellus,0.986,Pipistrellus nathusii,0.014,Nyctalus leisleri,0.0
1504235702758,2.931,0.959,Pipistrellus pipistrellus,0.984,Pipistrellus nathusii,0.015,Nyctalus leisleri,0.001
1504235702758,2.671,1.0,Pipistrellus pipistrellus,0.996,Myotis daubentonii,0.003,Pipistrellus nathusii,0.0
1504245710732,0.205,0.989,Pipistrellus nathusii,0.995,Nyctalus leisleri,0.004,Pipistrellus pipistrellus,0.002
1504245710732,0.043,0.955,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1504246125662,1.116,0.998,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Myotis brandtii,0.0
1504253299467,1.217,0.961,Pipistrellus nathusii,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1504253299467,1.703,0.97,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1504259742374,0.593,0.961,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1504259742374,1.358,0.955,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1504259742374,1.876,0.973,Nyctalus leisleri,0.997,Nyctalus noctula,0.003,Pipistrellus pipistrellus,0.0
1504259751394,2.931,0.966,Nyctalus leisleri,1.0,Pipistrellus nathusii,0.0,Pipistrellus pipistrellus,0.0
1504259787472,1.445,0.995,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1504259787472,1.546,0.956,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1504259787472,2.193,0.961,Nyctalus leisleri,0.925,Nyctalus noctula,0.075,Pipistrellus pipistrellus,0.0
1504259787472,2.085,0.989,Nyctalus noctula,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1504278009401,2.592,0.976,Pipistrellus nathusii,0.944,Nyctalus leisleri,0.039,Pipistrellus pipistrellus,0.017
1504283930444,0.335,0.988,Nyctalus noctula,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1504284878228,2.446,0.96,Nyctalus leisleri,1.0,Pipistrellus nathusii,0.0,Nyctalus noctula,0.0
1504286078384,0.647,0.998,Pipistrellus nathusii,0.514,Nyctalus leisleri,0.482,Pipistrellus pipistrellus,0.004
1504288289354,1.616,0.985,Pipistrellus nathusii,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1504299643336,0.932,0.999,Pipistrellus nathusii,0.996,Pipistrellus pipistrellus,0.004,Nyctalus leisleri,0.0
1504299643336,1.147,0.996,Pipistrellus nathusii,0.997,Pipistrellus pipistrellus,0.003,Nyctalus leisleri,0.0
1504299643336,1.439,0.99,Pipistrellus pipistrellus,0.577,Pipistrellus nathusii,0.409,Nyctalus leisleri,0.01
1504299643336,1.347,0.981,Pipistrellus nathusii,0.965,Pipistrellus pipistrellus,0.033,Nyctalus leisleri,0.001
