timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1500249811934,0.038,0.989,Nyctalus noctula,0.981,Nyctalus leisleri,0.018,Plecotus auritus,0.001
1500258465373,1.928,0.959,Nyctalus leisleri,1.0,Pipistrellus pipistrellus,0.0,Pipistrellus pygmaeus,0.0
1500277458528,2.226,0.973,Myotis brandtii,0.877,Nyctalus leisleri,0.123,Nyctalus noctula,0.0
1500284082537,1.573,0.972,Pipistrellus nathusii,0.948,Nyctalus leisleri,0.052,Pipistrellus pipistrellus,0.0
1500284100568,1.057,0.973,Nyctalus leisleri,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500284100568,2.898,0.992,Pipistrellus nathusii,0.961,Pipistrellus pipistrellus,0.026,Nyctalus leisleri,0.013
1500292168035,1.944,0.983,Pipistrellus nathusii,0.996,Pipistrellus pipistrellus,0.002,Nyctalus leisleri,0.001
1500304396480,2.123,0.966,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1500308311113,2.763,0.994,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313408525,2.262,0.964,Pipistrellus nathusii,0.99,Nyctalus leisleri,0.009,Pipistrellus pipistrellus,0.001
1500313679128,0.357,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500313679128,0.189,0.99,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Pipistrellus pygmaeus,0.0
1500313679128,0.378,0.994,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313679128,0.324,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313679128,0.07,0.989,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500313679128,0.593,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313679128,0.436,0.995,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500313679128,0.561,0.992,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313679128,0.691,0.961,Pipistrellus pipistrellus,0.997,Pipistrellus nathusii,0.003,Pipistrellus pygmaeus,0.0
1500313679128,0.819,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500313679128,0.959,0.99,Pipistrellus pipistrellus,0.994,Pipistrellus nathusii,0.006,Pipistrellus pygmaeus,0.0
1500313679128,1.04,0.993,Pipistrellus pipistrellus,0.995,Pipistrellus nathusii,0.005,Nyctalus leisleri,0.0
