timestamp,call_time,prob_bat,c1,p1,c2,p2,c3,p3
1500249957050,2.644,0.97,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1500251707358,0.319,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500251707358,0.728,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500251707358,0.572,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500251707358,0.905,0.99,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500251707358,0.819,0.967,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500251707358,1.535,0.977,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500251707358,1.901,0.986,Pipistrellus pipistrellus,0.995,Pipistrellus nathusii,0.005,Nyctalus leisleri,0.0
1500253575654,0.728,1.0,Pipistrellus nathusii,0.989,Pipistrellus pipistrellus,0.009,Pipistrellus pygmaeus,0.001
1500253575654,0.393,0.958,Pipistrellus nathusii,0.833,Pipistrellus pipistrellus,0.145,Myotis daubentonii,0.01
1500253575654,1.062,0.995,Pipistrellus pygmaeus,0.453,Pipistrellus pipistrellus,0.319,Pipistrellus nathusii,0.177
1500253575654,0.976,1.0,Pipistrellus nathusii,0.998,Pipistrellus pipistrellus,0.001,Nyctalus leisleri,0.0
1500253575654,1.45,0.996,Pipistrellus pipistrellus,0.611,Pipistrellus nathusii,0.387,Nyctalus leisleri,0.003
1500253575654,1.153,0.999,Pipistrellus pipistrellus,0.758,Pipistrellus nathusii,0.223,Nyctalus leisleri,0.019
1500253575654,1.245,1.0,Pipistrellus nathusii,1.0,Pipistrellus pipistrellus,0.0,Nyctalus leisleri,0.0
1500253575654,1.353,1.0,Pipistrellus nathusii,0.938,Pipistrellus pipistrellus,0.061,Nyctalus leisleri,0.0
1500253575654,1.535,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500253575654,1.724,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500253575654,2.09,0.989,Pipistrellus pipistrellus,0.785,Pipistrellus nathusii,0.214,Nyctalus leisleri,0.0
1500253575654,1.923,0.962,Pipistrellus pipistrellus,0.985,Pipistrellus nathusii,0.015,Nyctalus leisleri,0.0
1500253575654,2.478,0.975,Pipistrellus pipistrellus,0.996,Pipistrellus nathusii,0.004,Nyctalus leisleri,0.0
1500253575654,2.969,0.958,Pipistrellus nathusii,0.829,Pipistrellus pipistrellus,0.171,Nyctalus leisleri,0.0
1500253683941,1.04,0.991,Pipistrellus pipistrellus,0.815,Pipistrellus nathusii,0.175,Nyctalus leisleri,0.01
1500253683941,1.132,0.981,Pipistrellus nathusii,0.596,Nyctalus leisleri,0.361,Pipistrellus pipistrellus,0.042
1500253683941,1.369,0.991,Pipistrellus pipistrellus,0.993,Pipistrellus nathusii,0.006,Nyctalus leisleri,0.001
1500253683941,1.719,0.96,Pipistrellus pygmaeus,0.999,Nyctalus leisleri,0.001,Myotis brandtii,0.0
1500253683941,1.789,0.984,Pipistrellus pygmaeus,1.0,Nyctalus leisleri,0.0,Pipistrellus pipistrellus,0.0
1500256047560,0.135,0.992,Pipistrellus pipistrellus,0.892,Pipistrellus nathusii,0.106,Nyctalus leisleri,0.001
1500256047560,0.319,0.996,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500256047560,0.68,0.992,Pipistrellus pipistrellus,0.88,Pipistrellus nathusii,0.115,Pipistrellus pygmaeus,0.002
1500256047560,0.534,0.999,Pipistrellus pipistrellus,0.998,Pipistrellus pygmaeus,0.002,Pipistrellus nathusii,0.0
1500256047560,0.404,0.962,Pipistrellus nathusii,0.818,Pipistrellus pipistrellus,0.154,Pipistrellus pygmaeus,0.021
1500256047560,0.604,0.996,Pipistrellus pipistrellus,1.0,Myotis daubentonii,0.0,Pipistrellus nathusii,0.0
1500256047560,0.862,0.984,Pipistrellus pipistrellus,0.958,Pipistrellus nathusii,0.039,Nyctalus leisleri,0.002
1500256047560,0.77,0.99,Pipistrellus nathusii,0.997,Pipistrellus pipistrellus,0.002,Pipistrellus pygmaeus,0.0
1500256390598,1.169,0.999,Pipistrellus pipistrellus,0.981,Pipistrellus pygmaeus,0.019,Nyctalus leisleri,0.0
1500256390598,1.261,0.991,Pipistrellus pipistrellus,0.847,Pipistrellus nathusii,0.148,Pipistrellus pygmaeus,0.004
1500256390598,1.417,1.0,Pipistrellus pipistrellus,0.999,Pipistrellus pygmaeus,0.001,Nyctalus leisleri,0.0
1500256390598,1.336,0.99,Pipistrellus pipistrellus,0.996,Pipistrellus pygmaeus,0.004,Nyctalus leisleri,0.0
1500256390598,1.504,1.0,Pipistrellus pipistrellus,0.998,Pipistrellus nathusii,0.002,Pipistrellus pygmaeus,0.0
1500256390598,1.681,1.0,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Pipistrellus pygmaeus,0.0
1500256390598,2.139,0.991,Pipistrellus pipistrellus,0.558,Pipistrellus nathusii,0.44,Nyctalus leisleri,0.002
1500256390598,1.955,0.996,Pipistrellus nathusii,0.896,Pipistrellus pipistrellus,0.104,Pipistrellus pygmaeus,0.0
1500256426700,0.022,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500256480819,1.697,0.962,Pipistrellus nathusii,0.875,Pipistrellus pipistrellus,0.1,Nyctalus leisleri,0.025
1500256480819,1.901,1.0,Pipistrellus pipistrellus,0.922,Pipistrellus pygmaeus,0.068,Pipistrellus nathusii,0.009
1500256480819,2.09,0.993,Pipistrellus pipistrellus,0.973,Pipistrellus nathusii,0.025,Nyctalus leisleri,0.001
1500256480819,2.215,0.996,Pipistrellus pipistrellus,0.637,Pipistrellus nathusii,0.363,Nyctalus leisleri,0.0
1500256480819,2.403,0.952,Pipistrellus nathusii,0.53,Pipistrellus pipistrellus,0.454,Nyctalus leisleri,0.009
1500256480819,2.635,0.999,Pipistrellus pipistrellus,0.518,Pipistrellus nathusii,0.243,Nyctalus leisleri,0.216
1500256489832,0.566,0.987,Pipistrellus pipistrellus,0.998,Nyctalus leisleri,0.001,Pipistrellus pygmaeus,0.001
1500256489832,0.723,0.96,Pipistrellus pipistrellus,0.992,Pipistrellus pygmaeus,0.008,Nyctalus leisleri,0.0
1500256489832,0.781,0.986,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500256489832,0.997,0.981,Pipistrellus pipistrellus,0.978,Pipistrellus nathusii,0.018,Pipistrellus pygmaeus,0.002
1500256489832,1.255,0.963,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500256489832,1.163,0.999,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500256516880,2.985,0.981,Pipistrellus pipistrellus,0.994,Pipistrellus pygmaeus,0.005,Pipistrellus nathusii,0.0
1500256832493,2.484,0.998,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500256832493,2.581,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500256832493,2.969,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500256832493,2.774,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500256832493,2.871,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500256832493,2.671,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500257382904,0.038,0.954,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500257382904,0.211,0.998,Pipistrellus pipistrellus,0.997,Pipistrellus nathusii,0.003,Nyctalus leisleri,0.0
1500257382904,0.566,0.984,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500257382904,0.75,0.991,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500257382904,0.922,1.0,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500261353231,2.074,0.997,Pipistrellus pipistrellus,0.998,Pipistrellus nathusii,0.002,Nyctalus leisleri,0.0
1500261353231,2.258,1.0,Pipistrellus pipistrellus,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1500261353231,1.988,0.97,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1500261353231,2.489,0.997,Pipistrellus pipistrellus,1.0,Nyctalus leisleri,0.0,Pipistrellus pygmaeus,0.0
1500261353231,2.413,0.973,Pipistrellus pipistrellus,1.0,Pipistrellus nathusii,0.0,Nyctalus leisleri,0.0
1500261353231,2.311,0.992,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1500280503272,0.636,0.983,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500310895989,2.182,0.958,Pipistrellus pipistrellus,0.998,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1500310895989,2.262,0.958,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1500310895989,2.985,0.999,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.001,Nyctalus leisleri,0.0
1500311004171,2.294,0.993,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500311004171,2.44,0.96,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500311004171,2.98,0.982,Pipistrellus pipistrellus,1.0,Pipistrellus pygmaeus,0.0,Nyctalus leisleri,0.0
1500319709917,2.263,0.985,Pipistrellus pipistrellus,0.999,Pipistrellus pygmaeus,0.0,Pipistrellus nathusii,0.0
1500319709917,2.107,0.973,Pipistrellus pipistrellus,0.999,Pipistrellus nathusii,0.0,Pipistrellus pygmaeus,0.0
1500319709917,2.92,0.972,Pipistrellus pipistrellus,0.989,Pipistrellus pygmaeus,0.01,Nyctalus leisleri,0.001
1500331302567,1.293,0.993,Nyctalus leisleri,1.0,Pipistrellus pipistrellus,0.0,Pipistrellus pygmaeus,0.0
