"timestamp","call_time","prob_bat","c1","p1","c2","p2","c3","p3","datetime","date"
1509644398366,0.319,0.978,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.588,0.993,"Pipistrellus pygmaeus",0.998,"Nyctalus leisleri",0.002,"Plecotus auritus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.409,0.986,"Pipistrellus pygmaeus",0.738,"Nyctalus leisleri",0.262,"Plecotus auritus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.615,0.981,"Nyctalus leisleri",0.508,"Pipistrellus pipistrellus",0.216,"Plecotus austriacus",0.142,2017-11-02 17:39:58,2017-11-02
1509644398366,0.685,0.999,"Pipistrellus pygmaeus",0.969,"Nyctalus leisleri",0.031,"Myotis daubentonii",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.954,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.862,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.132,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,0.77,0.998,"Pipistrellus pygmaeus",0.997,"Nyctalus leisleri",0.003,"Plecotus auritus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.304,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.482,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.396,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.212,0.999,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.131,0.988,"Pipistrellus pygmaeus",0.994,"Nyctalus leisleri",0.006,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.822,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Plecotus austriacus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.665,1,"Pipistrellus pygmaeus",0.999,"Nyctalus leisleri",0.001,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.578,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Myotis daubentonii",0,2017-11-02 17:39:58,2017-11-02
1509644398366,1.912,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2017-11-02 17:39:58,2017-11-02
1509644398366,2.009,1,"Pipistrellus pygmaeus",0.998,"Nyctalus leisleri",0.002,"Plecotus auritus",0,2017-11-02 17:39:58,2017-11-02
1509646167487,0.378,0.996,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.292,0.997,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Myotis daubentonii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.463,0.978,"Pipistrellus pipistrellus",0.999,"Pipistrellus nathusii",0.001,"Myotis daubentonii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.55,0.999,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Myotis daubentonii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.723,0.995,"Pipistrellus pipistrellus",1,"Myotis daubentonii",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.813,1,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.895,1,"Pipistrellus pipistrellus",1,"Myotis daubentonii",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,0.992,1,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Myotis daubentonii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.234,1,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.131,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.407,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.805,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.519,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.627,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,1.912,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.134,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.02,0.999,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.247,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.511,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.403,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.731,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.974,1,"Pipistrellus pipistrellus",1,"Myotis daubentonii",0,"Pipistrellus pygmaeus",0,2017-11-02 18:09:27,2017-11-02
1509646167487,2.839,1,"Pipistrellus pipistrellus",1,"Myotis daubentonii",0,"Pipistrellus nathusii",0,2017-11-02 18:09:27,2017-11-02
1509646176647,0.227,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:36,2017-11-02
1509646176647,0.114,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2017-11-02 18:09:36,2017-11-02
1509646176647,0.388,1,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Pipistrellus pygmaeus",0,2017-11-02 18:09:36,2017-11-02
