"timestamp","call_time","prob_bat","c1","p1","c2","p2","c3","p3","datetime","date"
1525150453742,2.769,0.996,"Pipistrellus nathusii",1,"Pipistrellus pipistrellus",0,"Pipistrellus pygmaeus",0,2018-05-01 05:54:13,2018-05-01
1525151516521,2.199,0.997,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.473,0.985,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.413,0.999,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.63,1,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.359,0.976,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.532,0.953,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Pipistrellus pygmaeus",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.844,0.985,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525151516521,2.79,0.994,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Nyctalus leisleri",0,2018-05-01 06:11:56,2018-05-01
1525153399574,2.134,0.961,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 06:43:19,2018-05-01
1525153399574,2.597,0.994,"Nyctalus leisleri",0.932,"Pipistrellus pygmaeus",0.035,"Pipistrellus pipistrellus",0.033,2018-05-01 06:43:19,2018-05-01
1525153399574,2.316,0.959,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 06:43:19,2018-05-01
1525153399574,2.37,0.986,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Nyctalus leisleri",0,2018-05-01 06:43:19,2018-05-01
1525153399574,2.882,0.999,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 06:43:19,2018-05-01
1525153399574,2.969,0.999,"Pipistrellus pipistrellus",0.999,"Pipistrellus pygmaeus",0.001,"Nyctalus leisleri",0,2018-05-01 06:43:19,2018-05-01
1525153408658,1.084,0.967,"Pipistrellus pipistrellus",0.974,"Pipistrellus pygmaeus",0.026,"Nyctalus leisleri",0,2018-05-01 06:43:28,2018-05-01
1525154581235,2.538,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:03:01,2018-05-01
1525154581235,2.478,0.997,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Plecotus austriacus",0,2018-05-01 07:03:01,2018-05-01
1525154581235,2.413,0.958,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:03:01,2018-05-01
1525154581235,2.888,0.976,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:03:01,2018-05-01
1525154581235,2.931,0.991,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:03:01,2018-05-01
1525156154361,0.97,0.972,"Pipistrellus pygmaeus",0.755,"Pipistrellus nathusii",0.226,"Pipistrellus pipistrellus",0.019,2018-05-01 07:29:14,2018-05-01
1525156154361,1.293,0.992,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Pipistrellus pygmaeus",0,2018-05-01 07:29:14,2018-05-01
1525156154361,1.53,0.984,"Pipistrellus pipistrellus",0.762,"Pipistrellus pygmaeus",0.203,"Pipistrellus nathusii",0.035,2018-05-01 07:29:14,2018-05-01
1525156490520,2.236,0.964,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:34:50,2018-05-01
1525156490520,2.57,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:34:50,2018-05-01
1525156490520,2.348,0.999,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Plecotus austriacus",0,2018-05-01 07:34:50,2018-05-01
1525156490520,2.785,0.997,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 07:34:50,2018-05-01
1525157407788,2.015,0.982,"Pipistrellus pipistrellus",0.964,"Pipistrellus nathusii",0.036,"Pipistrellus pygmaeus",0,2018-05-01 07:50:07,2018-05-01
1525157407788,2.796,0.999,"Pipistrellus pygmaeus",0.909,"Pipistrellus pipistrellus",0.09,"Pipistrellus nathusii",0.001,2018-05-01 07:50:07,2018-05-01
1525158043714,1.557,0.999,"Pipistrellus pygmaeus",0.971,"Pipistrellus pipistrellus",0.029,"Nyctalus leisleri",0,2018-05-01 08:00:43,2018-05-01
1525159644699,2.155,0.984,"Pipistrellus nathusii",0.956,"Pipistrellus pipistrellus",0.021,"Pipistrellus pygmaeus",0.015,2018-05-01 08:27:24,2018-05-01
1525159680949,0.377,0.981,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Pipistrellus nathusii",0,2018-05-01 08:28:00,2018-05-01
1525159680949,1.068,0.972,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Pipistrellus nathusii",0,2018-05-01 08:28:00,2018-05-01
1525159689985,0.723,0.979,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 08:28:09,2018-05-01
1525159689985,1.632,0.992,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Pipistrellus nathusii",0,2018-05-01 08:28:09,2018-05-01
1525159689985,2.489,0.972,"Pipistrellus pygmaeus",1,"Pipistrellus pipistrellus",0,"Pipistrellus nathusii",0,2018-05-01 08:28:09,2018-05-01
1525160180266,2.543,0.961,"Pipistrellus nathusii",0.999,"Pipistrellus pipistrellus",0.001,"Pipistrellus pygmaeus",0,2018-05-01 08:36:20,2018-05-01
1525160180266,2.284,0.986,"Pipistrellus nathusii",0.887,"Pipistrellus pipistrellus",0.113,"Pipistrellus pygmaeus",0,2018-05-01 08:36:20,2018-05-01
1525160352913,2.521,0.952,"Pipistrellus pipistrellus",0.991,"Pipistrellus nathusii",0.006,"Nyctalus leisleri",0.002,2018-05-01 08:39:12,2018-05-01
1525160352913,2.936,0.994,"Pipistrellus nathusii",1,"Pipistrellus pygmaeus",0,"Nyctalus leisleri",0,2018-05-01 08:39:12,2018-05-01
1525160352913,2.888,0.997,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 08:39:12,2018-05-01
1525161243951,1.6,0.961,"Pipistrellus pipistrellus",0.974,"Pipistrellus pygmaeus",0.019,"Pipistrellus nathusii",0.006,2018-05-01 08:54:03,2018-05-01
1525162009947,0.227,0.982,"Pipistrellus pygmaeus",0.495,"Pipistrellus nathusii",0.201,"Nyctalus leisleri",0.192,2018-05-01 09:06:49,2018-05-01
1525163818999,0.62,0.993,"Pipistrellus nathusii",0.908,"Nyctalus leisleri",0.055,"Myotis brandtii",0.029,2018-05-01 09:36:58,2018-05-01
1525163818999,0.658,0.994,"Pipistrellus pipistrellus",0.506,"Pipistrellus nathusii",0.489,"Nyctalus leisleri",0.005,2018-05-01 09:36:58,2018-05-01
1525168254283,2.769,0.96,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 10:50:54,2018-05-01
1525170941892,1.358,0.97,"Pipistrellus pygmaeus",0.975,"Nyctalus leisleri",0.025,"Pipistrellus pipistrellus",0,2018-05-01 11:35:41,2018-05-01
1525172824139,0.42,0.965,"Pipistrellus nathusii",1,"Pipistrellus pipistrellus",0,"Nyctalus leisleri",0,2018-05-01 12:07:04,2018-05-01
1525172824139,0.539,0.998,"Pipistrellus pygmaeus",0.977,"Pipistrellus pipistrellus",0.008,"Pipistrellus nathusii",0.005,2018-05-01 12:07:04,2018-05-01
1525174007897,1.19,0.998,"Nyctalus leisleri",0.984,"Pipistrellus nathusii",0.015,"Pipistrellus pipistrellus",0.001,2018-05-01 12:26:47,2018-05-01
1525174007897,1.272,0.959,"Pipistrellus nathusii",0.781,"Nyctalus leisleri",0.154,"Pipistrellus pipistrellus",0.065,2018-05-01 12:26:47,2018-05-01
1525174007897,2.516,0.972,"Pipistrellus pipistrellus",0.947,"Nyctalus leisleri",0.049,"Pipistrellus pygmaeus",0.004,2018-05-01 12:26:47,2018-05-01
1525174007897,2.576,0.986,"Nyctalus leisleri",1,"Pipistrellus pygmaeus",0,"Pipistrellus pipistrellus",0,2018-05-01 12:26:47,2018-05-01
1525174007897,2.715,0.97,"Pipistrellus pygmaeus",0.985,"Pipistrellus pipistrellus",0.009,"Nyctalus leisleri",0.006,2018-05-01 12:26:47,2018-05-01
1525176233437,0.227,0.968,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 13:03:53,2018-05-01
1525176233437,0.604,0.999,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus pygmaeus",0,2018-05-01 13:03:53,2018-05-01
1525176233437,0.728,0.991,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 13:03:53,2018-05-01
1525176233437,0.959,0.979,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 13:03:53,2018-05-01
1525176233437,1.513,0.989,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 13:03:53,2018-05-01
1525176233437,1.832,0.976,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 13:03:53,2018-05-01
1525176233437,1.562,0.984,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Pipistrellus pygmaeus",0,2018-05-01 13:03:53,2018-05-01
1525178423835,0.086,0.953,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 13:40:23,2018-05-01
1525178423835,0.346,0.978,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus nathusii",0,2018-05-01 13:40:23,2018-05-01
1525181638962,0.211,0.975,"Pipistrellus nathusii",0.685,"Pipistrellus pipistrellus",0.315,"Pipistrellus pygmaeus",0,2018-05-01 14:33:58,2018-05-01
1525181638962,1.584,0.98,"Pipistrellus nathusii",1,"Pipistrellus pygmaeus",0,"Pipistrellus pipistrellus",0,2018-05-01 14:33:58,2018-05-01
1525181756794,2.753,0.963,"Pipistrellus pipistrellus",0.611,"Pipistrellus pygmaeus",0.379,"Pipistrellus nathusii",0.008,2018-05-01 14:35:56,2018-05-01
1525181765813,0.491,0.971,"Pipistrellus pygmaeus",0.895,"Pipistrellus pipistrellus",0.1,"Myotis brandtii",0.004,2018-05-01 14:36:05,2018-05-01
1525181765813,0.986,0.999,"Pipistrellus pygmaeus",0.999,"Pipistrellus pipistrellus",0.001,"Nyctalus leisleri",0,2018-05-01 14:36:05,2018-05-01
1525181765813,1.509,0.974,"Pipistrellus pipistrellus",0.907,"Nyctalus leisleri",0.088,"Pipistrellus nathusii",0.003,2018-05-01 14:36:05,2018-05-01
1525181765813,1.508,0.963,"Pipistrellus pipistrellus",0.991,"Pipistrellus nathusii",0.005,"Nyctalus leisleri",0.003,2018-05-01 14:36:05,2018-05-01
1525181765813,2.036,0.996,"Pipistrellus pygmaeus",1,"Pipistrellus pipistrellus",0,"Nyctalus leisleri",0,2018-05-01 14:36:05,2018-05-01
1525184410222,0.943,0.983,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 15:20:10,2018-05-01
1525189859346,0.13,0.972,"Pipistrellus pipistrellus",0.923,"Pipistrellus nathusii",0.077,"Nyctalus leisleri",0,2018-05-01 16:50:59,2018-05-01
1525189995806,1.315,0.995,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 16:53:15,2018-05-01
1525189995806,1.504,0.998,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Pipistrellus nathusii",0,2018-05-01 16:53:15,2018-05-01
1525189995806,1.513,0.985,"Pipistrellus nathusii",0.771,"Pipistrellus pipistrellus",0.229,"Nyctalus leisleri",0,2018-05-01 16:53:15,2018-05-01
1525189995806,1.573,0.987,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 16:53:15,2018-05-01
1525189995806,2.57,0.989,"Pipistrellus pygmaeus",1,"Pipistrellus pipistrellus",0,"Nyctalus leisleri",0,2018-05-01 16:53:15,2018-05-01
1525189995806,2.311,0.954,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 16:53:15,2018-05-01
1525191194091,1.482,0.975,"Pipistrellus pipistrellus",0.863,"Pipistrellus nathusii",0.136,"Pipistrellus pygmaeus",0.001,2018-05-01 17:13:14,2018-05-01
1525191194091,1.789,0.966,"Pipistrellus pipistrellus",1,"Nyctalus leisleri",0,"Pipistrellus pygmaeus",0,2018-05-01 17:13:14,2018-05-01
1525193529580,0.092,0.988,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Myotis brandtii",0,2018-05-01 17:52:09,2018-05-01
1525195221094,0.986,1,"Pipistrellus nathusii",1,"Pipistrellus pygmaeus",0,"Nyctalus leisleri",0,2018-05-01 18:20:21,2018-05-01
1525195694296,0.895,0.992,"Pipistrellus nathusii",0.556,"Pipistrellus pipistrellus",0.444,"Nyctalus leisleri",0,2018-05-01 18:28:14,2018-05-01
1525196987288,1.805,0.962,"Pipistrellus nathusii",1,"Pipistrellus pipistrellus",0,"Pipistrellus pygmaeus",0,2018-05-01 18:49:47,2018-05-01
1525197932144,0.377,0.986,"Pipistrellus pipistrellus",0.886,"Pipistrellus nathusii",0.109,"Pipistrellus pygmaeus",0.005,2018-05-01 19:05:32,2018-05-01
1525199375978,2.305,0.993,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 19:29:35,2018-05-01
1525199375978,2.343,0.971,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 19:29:35,2018-05-01
1525200576862,0.572,0.978,"Pipistrellus pipistrellus",1,"Pipistrellus pygmaeus",0,"Pipistrellus nathusii",0,2018-05-01 19:49:36,2018-05-01
1525200576862,0.792,0.994,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-05-01 19:49:36,2018-05-01
1525201212519,0.205,0.96,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Myotis brandtii",0,2018-05-01 20:00:12,2018-05-01
1525204703153,1.6,0.956,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-05-01 20:58:23,2018-05-01
1525204703153,1.865,0.981,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Myotis brandtii",0,2018-05-01 20:58:23,2018-05-01
