"timestamp","call_time","prob_bat","c1","p1","c2","p2","c3","p3","datetime","date"
1518345024426,1.201,0.96,"Pipistrellus pipistrellus",0.996,"Pipistrellus nathusii",0.004,"Pipistrellus pygmaeus",0,2018-02-11 10:30:24,2018-02-11
1518345133901,0.528,0.976,"Pipistrellus pipistrellus",0.994,"Pipistrellus nathusii",0.006,"Nyctalus leisleri",0,2018-02-11 10:32:13,2018-02-11
1518345133901,0.62,0.984,"Pipistrellus pipistrellus",0.982,"Pipistrellus nathusii",0.018,"Nyctalus leisleri",0,2018-02-11 10:32:13,2018-02-11
1518351982907,2.188,1,"Pipistrellus pygmaeus",1,"Nyctalus leisleri",0,"Pipistrellus pipistrellus",0,2018-02-11 12:26:22,2018-02-11
1518354802957,0.092,0.976,"Pipistrellus nathusii",0.999,"Pipistrellus pipistrellus",0.001,"Nyctalus leisleri",0,2018-02-11 13:13:22,2018-02-11
1518354802957,0.485,0.961,"Nyctalus leisleri",0.989,"Pipistrellus nathusii",0.011,"Pipistrellus pipistrellus",0,2018-02-11 13:13:22,2018-02-11
1518356049229,0.626,0.98,"Pipistrellus nathusii",1,"Nyctalus leisleri",0,"Myotis brandtii",0,2018-02-11 13:34:09,2018-02-11
1518360497831,2.597,0.99,"Pipistrellus pipistrellus",1,"Pipistrellus nathusii",0,"Nyctalus leisleri",0,2018-02-11 14:48:17,2018-02-11
1518365553503,2.226,0.969,"Pipistrellus pipistrellus",0.984,"Pipistrellus nathusii",0.012,"Pipistrellus pygmaeus",0.002,2018-02-11 16:12:33,2018-02-11
